steps,exercise_minutes,sleep_hours,water_liters,sitting_hours,intensity_code,feeling_code,activity_level
7596,14,8.3,3.5,4.5,0,2,1
15508,54,9.4,1.8,10.1,0,0,2
2250,54,5.2,1.9,5.2,2,0,2
11906,31,4.1,1.1,9.3,2,2,2
13302,28,8.9,2.6,3.3,2,0,2
1433,15,6.8,4.0,2.0,2,0,1
9456,52,4.7,3.6,10.8,1,1,2
3326,24,4.3,2.6,4.9,1,1,1
3441,1,7.3,1.3,10.7,2,0,0
3371,49,6.2,2.9,9.3,2,1,2
11623,88,6.3,2.3,2.1,0,2,2
7134,36,4.5,3.6,6.0,0,2,2
6074,86,5.0,1.2,10.6,2,2,2
5810,42,8.0,3.6,5.8,1,1,2
10618,65,8.3,2.5,3.0,2,2,2
13848,71,4.5,1.2,9.4,1,0,2
15814,33,8.0,3.6,5.9,1,0,2
9356,52,6.3,2.6,11.4,1,1,2
5739,33,6.2,1.0,3.6,0,2,1
867,85,5.3,0.8,9.5,1,2,1
7909,18,5.0,2.3,6.7,1,0,1
633,43,9.3,2.8,7.0,2,0,1
2598,26,8.2,3.6,11.0,0,2,1
6000,85,4.4,1.0,5.0,0,1,1
13155,76,7.4,2.4,3.7,0,0,2
2153,76,7.2,3.1,5.0,2,1,2
2220,68,8.2,1.2,11.4,1,0,1
11764,9,5.5,3.5,3.8,1,1,2
3371,22,7.9,3.5,10.7,2,1,1
11659,22,5.3,1.1,11.4,0,2,1
5590,46,6.7,2.4,7.4,2,1,2
6075,11,9.2,2.2,11.5,0,0,1
15377,18,5.4,0.6,3.2,0,2,2
14689,54,6.6,1.9,7.3,1,0,2
2709,73,8.1,2.1,3.5,2,2,2
9166,4,5.9,3.3,8.2,0,2,1
13323,19,9.1,2.0,8.4,2,0,2
4849,25,4.3,2.1,3.3,1,0,1
8199,35,9.1,1.6,9.3,2,1,2
10702,53,6.6,3.8,5.4,1,0,2
15785,76,4.2,2.1,10.9,2,2,2
7519,47,7.6,1.6,11.5,2,1,2
6610,36,7.1,3.0,7.1,2,2,2
3437,58,5.9,1.9,6.4,0,0,1
5535,60,7.6,2.8,2.2,2,0,2
3017,70,8.7,1.4,8.7,0,0,1
12371,12,5.6,2.9,11.1,2,0,2
8962,63,9.2,2.6,4.6,0,1,2
11628,87,6.2,2.9,2.2,1,1,2
15417,54,6.4,3.8,10.5,0,0,2
11422,44,7.5,1.7,4.4,1,2,2
5398,75,9.4,3.1,9.6,0,2,2
10206,41,5.3,2.8,4.9,0,0,2
6119,36,5.2,3.4,10.6,1,0,1
1107,30,8.4,3.4,3.4,2,2,1
2287,35,9.5,1.2,3.5,0,1,1
14104,83,9.4,0.7,3.4,1,2,2
7880,79,7.6,0.9,10.3,1,0,2
8349,49,6.8,2.9,8.5,0,2,2
2142,8,8.0,3.9,5.2,0,1,1
3754,4,7.7,1.7,9.9,2,2,1
15015,37,5.8,3.1,10.0,0,1,2
4644,12,8.8,0.8,3.5,0,1,1
8405,4,4.0,2.0,9.7,0,0,0
12074,74,4.9,1.0,10.6,0,2,2
7549,73,4.5,1.9,9.4,1,0,2
3622,45,8.1,2.1,5.7,1,0,1
10554,67,4.7,0.8,3.8,0,0,2
1447,35,9.4,1.0,8.5,0,1,1
3346,78,9.4,3.6,3.9,1,0,2
15171,26,8.0,2.5,7.5,1,2,2
7694,2,4.3,2.6,6.9,1,0,0
4507,68,8.5,2.5,5.9,2,0,2
3018,28,7.1,2.9,2.7,1,0,1
9771,80,7.6,1.1,10.9,0,1,2
13527,84,4.3,1.3,7.9,1,0,2
918,19,4.5,1.2,6.2,1,0,0
10598,77,5.8,1.8,2.6,1,1,2
14904,54,5.1,3.6,11.3,2,0,2
1288,10,7.4,0.9,10.5,2,2,1
11225,47,9.5,0.7,6.0,0,0,2
1838,51,8.4,1.1,11.8,0,1,1
12982,35,7.2,0.9,5.2,0,0,2
12877,77,7.2,1.8,6.1,1,1,2
6375,83,9.1,1.9,5.3,0,1,2
6447,41,7.6,2.4,5.2,2,1,2
8748,8,4.9,3.0,5.9,2,0,1
12251,67,5.4,3.4,11.3,0,1,2
15881,4,9.2,1.9,11.2,2,1,2
10057,3,7.7,2.5,2.3,1,2,1
4211,44,6.6,0.5,9.9,2,0,1
15819,33,7.1,1.4,3.6,1,2,2
3830,48,9.3,3.9,10.6,2,0,2
15413,79,6.1,0.9,10.1,1,1,2
10390,88,7.3,2.0,5.7,0,1,2
14158,71,8.6,1.5,5.0,2,2,2
15070,46,6.6,2.9,3.6,1,2,2
12752,55,4.2,2.1,7.2,2,0,2
9400,16,5.9,0.8,11.5,0,1,1
6930,87,4.4,2.8,10.7,2,1,2
2573,38,4.2,2.4,11.9,1,2,1
3653,63,5.7,3.7,2.5,0,2,2
14629,10,4.3,3.4,3.6,2,1,2
14004,51,6.2,2.1,2.6,0,2,2
12764,17,5.6,3.9,2.9,2,2,2
8882,74,9.4,3.4,11.4,1,0,2
5153,49,7.0,3.6,11.7,1,2,2
7578,41,6.1,1.8,5.9,0,0,1
9307,70,6.5,3.8,8.1,0,0,2
13835,18,9.4,1.3,7.2,1,2,2
1130,21,4.3,1.0,2.6,0,0,0
6147,82,7.0,2.7,4.0,1,2,2
10604,77,9.2,1.7,2.9,1,0,2
10124,85,6.1,3.2,7.4,1,0,2
3376,58,7.7,2.0,4.3,2,2,2
11584,84,5.0,0.9,7.0,1,1,2
15019,39,9.5,2.2,6.8,2,1,2
11876,53,5.3,2.7,2.5,1,2,2
8162,80,6.6,0.7,10.2,2,1,2
14502,38,7.5,3.5,8.3,0,1,2
12559,60,9.3,1.8,6.3,1,2,2
1207,66,6.5,1.3,9.5,1,0,1
6296,56,8.1,3.6,4.7,1,0,2
12937,13,5.1,1.5,7.3,0,2,2
3126,63,5.0,1.8,6.8,2,0,2
4349,27,4.7,2.4,9.1,0,0,0
4223,70,8.1,3.4,6.5,1,2,2
5764,32,5.0,2.1,5.9,2,0,1
3207,28,5.5,1.0,6.4,2,0,0
14462,21,8.2,3.8,7.0,1,1,2
10165,89,7.4,3.6,11.1,1,2,2
12283,7,4.1,2.2,6.9,1,1,1
12333,49,8.6,0.9,4.3,0,2,2
12443,89,8.8,3.6,5.1,0,1,2
13244,54,9.2,1.7,7.6,1,0,2
3965,17,4.3,3.8,6.0,0,2,1
10899,17,5.0,3.3,4.6,2,2,2
5141,60,8.5,1.3,4.8,1,2,2
582,38,6.4,1.4,9.8,1,2,1
11937,75,5.2,0.5,7.7,1,2,2
3736,18,6.9,3.3,2.9,0,1,1
2921,33,5.0,1.2,6.1,1,1,1
8659,57,7.8,3.9,6.1,1,1,2
1608,22,8.0,3.1,3.0,1,1,1
3193,16,6.6,1.5,10.0,0,2,0
10364,23,5.5,1.4,3.4,0,2,2
14914,20,8.7,1.9,2.4,0,0,2
7218,70,5.2,3.7,10.5,0,2,2
8606,4,8.8,1.6,8.2,1,2,1
2387,70,9.2,3.0,6.4,0,2,2
15760,67,8.5,3.1,4.9,1,0,2
5284,45,6.8,2.5,6.0,2,2,2
12871,22,8.1,2.9,7.2,2,0,2
7533,86,8.0,3.7,11.8,1,1,2
10719,42,9.4,0.8,6.1,1,2,2
8506,70,6.1,3.9,10.8,2,0,2
3715,30,7.3,2.8,10.3,2,0,1
14726,64,7.1,2.2,2.6,1,1,2
12131,2,6.2,3.8,2.5,1,2,2
8634,77,8.1,3.6,4.2,1,1,2
12885,22,5.3,0.6,11.6,1,2,2
6259,66,6.9,2.2,6.5,0,1,2
768,79,8.5,1.7,7.8,0,0,1
3128,81,9.1,1.7,3.7,0,0,2
3404,10,4.4,4.0,2.7,0,0,0
11890,52,8.3,2.7,10.8,0,1,2
15051,64,6.5,1.7,6.7,0,0,2
12611,23,4.8,1.4,10.4,2,0,2
10510,77,4.4,3.2,5.1,2,0,2
10582,81,5.6,2.5,4.9,1,1,2
7401,54,7.4,1.0,8.9,1,2,2
9945,6,6.5,1.9,2.9,2,0,1
13403,66,5.3,3.4,7.5,0,2,2
8877,44,7.4,3.7,6.9,2,1,2
15979,66,4.4,2.3,6.8,1,2,2
9139,42,9.3,2.1,3.8,1,0,2
9599,0,6.4,3.2,9.3,2,0,1
15620,13,9.2,1.1,8.3,0,0,1
5274,37,8.2,1.3,11.1,2,1,2
8127,76,9.5,1.3,4.9,1,0,2
10401,52,9.5,4.0,7.3,1,1,2
6730,83,5.1,2.3,10.3,0,0,2
4244,88,9.4,3.7,10.0,2,0,2
10371,49,7.1,2.3,8.4,1,1,2
13019,30,5.8,0.9,3.9,1,2,2
1373,20,8.2,2.4,2.2,2,0,1
4456,59,5.5,0.7,2.5,2,1,2
844,76,4.9,2.6,6.4,2,1,2
7504,72,8.9,0.5,3.8,1,2,2
11066,13,5.1,2.8,9.2,0,1,1
14004,44,5.7,2.2,5.6,2,0,2
2124,31,7.9,0.6,6.4,1,1,1
10289,69,8.5,3.0,3.0,2,1,2
11270,22,4.2,1.3,6.5,0,1,1
2665,74,9.1,1.2,11.3,1,0,2
8534,85,4.1,3.2,11.7,0,2,2
3467,49,4.4,3.5,8.1,2,1,2
10391,51,4.8,3.1,2.8,2,2,2
8619,42,6.8,1.6,11.7,0,2,2
15534,15,5.2,2.1,11.4,1,2,2
15176,77,6.1,3.5,4.4,1,1,2
2423,23,7.8,4.0,3.5,1,0,1
13793,30,4.4,2.2,9.5,0,0,1
895,76,6.9,3.4,6.5,2,2,2
3440,10,8.9,2.2,3.4,0,0,0
2556,4,5.6,1.0,6.4,2,1,0
4667,25,4.2,2.7,5.7,0,1,0
6906,1,5.4,2.1,5.9,2,2,1
13626,47,7.3,0.6,7.2,2,1,2
11939,9,8.3,3.8,2.2,2,1,2
14510,25,8.3,2.7,11.3,2,2,2
6180,40,7.0,1.0,5.4,0,2,2
1706,40,8.6,1.6,6.8,0,2,1
788,11,4.3,3.8,4.7,2,1,0
8990,38,9.1,2.3,11.7,2,0,2
11753,77,6.5,1.5,10.6,2,1,2
14633,87,5.0,1.6,2.3,1,1,2
11572,61,5.0,2.9,4.6,1,1,2
5203,64,6.6,1.8,10.5,0,1,2
1150,81,5.9,0.6,6.9,1,0,1
11015,67,4.7,3.3,11.4,0,1,2
6945,64,9.5,1.7,3.6,0,1,2
12619,16,7.4,0.5,11.3,1,0,1
15144,9,5.3,1.5,2.3,1,0,1
14642,34,6.1,1.7,5.3,0,0,2
4002,18,8.2,4.0,11.3,0,1,1
14966,28,8.3,3.2,10.4,1,2,2
2388,69,8.4,1.6,11.3,1,0,2
7405,69,4.5,2.8,2.3,2,2,2
12944,54,8.7,0.8,4.8,2,1,2
10718,40,5.5,1.9,6.3,0,2,2
13847,80,6.3,1.6,7.0,0,1,2
6304,45,4.8,1.7,7.7,1,1,2
15458,23,9.3,3.2,11.7,1,2,2
14861,47,4.9,3.4,7.8,0,0,2
15070,10,7.1,3.0,2.6,1,1,2
689,6,6.8,1.4,8.6,1,0,0
4549,80,5.0,1.6,7.9,1,2,2
7800,14,4.6,4.0,6.6,0,2,1
12448,83,4.5,0.9,11.3,1,2,2
5556,31,6.5,2.0,3.9,1,2,2
7903,63,4.4,0.6,8.5,0,1,2
7408,8,9.2,3.1,10.8,1,0,1
15049,33,7.0,1.5,2.6,1,1,2
10801,34,5.1,1.4,8.3,0,1,2
11238,48,8.2,1.8,7.9,0,2,2
2405,81,8.4,0.7,6.3,2,2,2
12907,41,4.5,2.5,3.3,2,2,2
1755,65,8.8,2.7,8.1,1,2,2
8632,78,4.2,2.4,4.2,0,2,2
8069,37,5.0,1.7,9.0,0,0,1
8169,79,8.2,1.2,4.9,0,2,2
9594,54,5.7,1.5,2.4,0,2,2
14435,0,8.0,3.8,9.6,0,1,1
14021,39,5.8,2.3,6.3,0,1,2
10075,89,4.4,1.8,3.8,2,1,2
4757,15,8.2,2.2,11.2,2,0,1
911,36,4.4,1.4,11.9,0,0,0
2563,51,6.7,2.5,5.8,0,2,2
11908,38,7.8,3.5,5.7,1,1,2
5535,15,4.4,3.0,4.9,0,2,1
15852,77,8.6,0.8,2.2,2,0,2
11892,21,7.0,2.0,10.0,2,1,2
14284,89,4.8,3.4,2.5,0,1,2
2238,59,7.8,1.4,6.2,0,1,1
4604,41,5.8,1.6,4.5,2,1,2
12996,78,7.3,1.0,8.9,2,2,2
7269,13,4.0,0.7,9.6,0,2,1
5700,67,4.4,2.6,9.6,2,1,2
5245,53,9.5,1.4,3.9,1,0,2
9983,53,8.4,3.1,10.9,1,2,2
8664,50,5.6,1.7,11.3,1,2,2
8240,37,7.0,2.2,3.1,1,0,2
2623,6,9.1,0.9,4.0,2,2,1
2874,81,8.0,0.7,8.9,2,1,2
1416,74,8.0,2.6,5.2,2,2,2
1417,52,7.7,2.0,9.6,1,2,2
599,18,7.0,2.2,7.7,0,0,0
13682,52,7.2,2.8,9.2,0,1,2
12877,56,7.0,2.6,3.0,0,0,2
15634,78,7.7,0.8,7.9,0,0,2
14441,74,7.3,2.6,5.4,2,1,2
1055,65,6.9,1.8,2.5,2,0,2
2989,33,9.2,2.3,4.3,2,0,2
1074,73,6.1,3.2,10.0,1,0,1
14469,86,6.2,0.7,11.2,2,2,2
15867,49,5.2,3.4,7.0,0,0,2
12475,85,8.6,1.5,2.5,1,2,2
1370,47,7.5,2.1,6.2,2,0,1
11382,20,8.6,1.0,4.3,2,1,2
5947,14,7.1,1.8,8.3,0,2,1
15421,82,9.0,3.4,8.3,1,1,2
8467,62,4.1,3.9,7.9,0,2,2
5612,1,6.8,2.3,6.4,1,1,1
1222,87,5.0,1.6,4.9,1,1,2
2190,57,9.2,1.5,8.9,2,0,2
4458,41,4.2,2.7,8.8,0,2,1
10991,54,6.2,0.6,3.0,1,1,2
6346,1,7.1,3.1,10.3,1,1,0
4554,62,8.7,0.9,11.3,1,0,1
6002,6,5.1,0.5,6.5,2,1,1
3602,40,6.2,3.2,10.9,2,1,2
11862,82,4.5,1.9,11.4,1,2,2
13465,60,6.5,3.1,2.3,0,0,2
12958,20,7.7,1.7,10.9,2,2,2
5328,69,5.5,2.2,4.0,1,2,2
14665,81,8.8,3.9,4.3,1,2,2
2813,38,7.1,1.7,4.9,2,0,1
9625,44,8.9,2.7,7.2,0,1,2
10034,18,8.5,1.2,9.2,2,2,2
4945,77,5.6,3.6,9.3,2,2,2
3133,76,9.5,2.0,10.1,1,2,2
14621,83,6.2,2.5,3.1,2,0,2
11189,35,6.2,1.4,6.9,1,2,2
9914,6,7.2,2.1,8.1,1,1,1
8216,42,7.2,2.3,6.7,2,2,2
1522,30,8.4,3.5,3.5,0,1,1
12646,66,5.3,2.8,4.6,1,1,2
6524,34,8.8,4.0,10.7,0,0,2
8917,2,6.2,3.5,8.9,2,1,1
11823,73,7.9,2.1,10.9,0,0,2
9155,57,9.3,1.4,4.5,2,0,2
15403,20,6.8,4.0,2.1,1,1,2
14800,72,6.0,1.9,3.7,0,2,2
5271,12,6.2,3.6,2.0,2,0,1
1025,30,5.5,2.1,3.8,0,1,1
1945,51,4.5,3.5,3.7,0,2,2
7844,70,5.1,1.2,7.0,2,0,2
1043,65,8.6,0.8,10.8,1,2,2
8384,62,7.7,2.3,8.5,2,2,2
9605,28,4.4,3.8,6.5,0,2,2
13154,89,4.9,3.3,10.9,0,0,2
9835,31,7.6,2.3,4.6,1,0,2
12702,9,7.5,1.7,4.2,2,2,2
11558,48,9.1,1.8,10.4,2,0,2
3970,88,8.7,2.5,8.3,2,1,2
12174,69,9.5,2.2,2.6,1,1,2
4801,22,5.8,3.1,3.8,2,0,1
3616,78,7.8,0.6,2.3,1,1,2
12381,53,6.4,3.7,4.9,2,2,2
14117,86,9.4,3.1,6.7,0,0,2
8592,66,5.2,2.1,6.6,0,2,2
5974,57,7.6,1.4,5.7,1,0,2
6401,38,6.4,1.4,4.1,1,1,2
9604,5,8.2,1.8,5.8,0,1,1
6880,28,8.2,3.8,8.6,2,1,2
15689,37,6.9,1.6,3.0,1,1,2
13561,36,7.1,3.8,2.4,2,1,2
761,1,5.4,0.9,4.2,0,0,0
5622,47,4.0,1.1,2.9,0,1,1
7778,49,5.2,0.6,11.4,1,0,2
3501,13,9.4,2.7,8.1,1,2,1
6575,87,5.1,2.7,6.2,0,1,2
5262,13,9.5,1.8,8.5,0,2,1
6817,83,7.1,3.0,3.5,1,1,2
2331,41,4.9,1.4,10.5,2,0,1
12561,89,4.0,1.1,8.7,1,0,2
4457,61,7.2,1.8,9.0,1,1,2
14655,50,8.9,2.8,6.7,2,0,2
14671,22,4.1,4.0,4.2,0,2,2
10791,25,6.3,1.6,10.0,0,2,2
14915,13,8.3,1.0,11.1,2,1,2
11171,14,4.1,1.4,11.1,0,2,1
14628,9,7.3,1.4,7.4,1,0,1
2962,51,5.0,2.1,8.5,0,0,1
14990,45,8.5,2.8,9.1,0,2,2
3203,55,5.5,0.8,8.1,0,0,1
8210,5,7.0,1.1,8.1,1,2,1
2673,27,7.0,2.5,6.7,2,1,1
13742,88,4.5,3.4,7.9,1,0,2
1582,7,8.3,2.6,3.1,0,0,0
4500,26,8.9,3.2,9.0,1,0,1
12424,85,4.5,1.6,4.3,1,1,2
9686,42,7.1,1.6,3.4,1,0,2
570,54,6.1,3.3,2.6,1,0,1
2823,88,7.9,2.7,2.0,0,0,2
14417,34,9.1,3.2,6.5,1,2,2
3226,41,7.5,3.7,4.5,0,2,2
13287,58,8.3,2.7,7.0,1,1,2
13578,19,5.5,2.6,6.4,0,0,2
5452,33,6.5,1.9,3.8,0,2,2
5408,1,9.3,3.4,9.2,0,2,1
10696,30,7.4,2.6,4.7,0,0,2
4370,59,8.3,3.2,5.2,2,0,2
12056,49,9.1,3.6,11.2,0,2,2
2502,41,4.3,0.8,5.9,1,0,1
15045,85,5.1,3.9,9.6,0,1,2
9484,29,7.6,1.2,11.4,0,0,1
6324,64,7.6,2.1,8.3,0,0,2
13073,24,5.5,1.1,5.3,2,0,2
1468,17,5.1,2.4,3.3,1,2,0
2429,38,9.0,0.8,2.4,0,2,1
9353,75,4.3,3.2,5.8,0,0,2
7724,89,4.4,3.4,8.4,0,2,2
2792,77,5.0,0.5,8.0,0,1,1
6636,16,5.8,0.7,2.6,2,2,1
12532,88,9.3,1.0,9.1,0,1,2
4091,8,5.0,0.8,8.0,0,2,0
3196,63,9.4,2.9,2.4,0,2,2
11316,0,6.8,3.8,4.6,2,1,2
906,5,4.4,3.0,10.6,0,0,0
5007,17,4.1,2.4,9.0,0,1,1
4480,49,4.5,1.0,11.3,1,2,1
13097,82,7.6,3.7,6.2,0,0,2
3778,9,4.5,1.7,9.0,2,2,1
10940,13,8.1,1.7,2.1,2,0,2
13454,24,8.5,3.2,9.0,0,0,2
15710,60,5.1,2.8,6.8,0,1,2
2545,46,4.5,1.1,3.3,1,2,1
4261,31,5.8,3.6,7.6,2,2,1
2546,10,7.1,1.7,10.0,1,2,1
2386,87,7.0,1.4,6.9,2,0,1
1861,9,5.7,2.5,2.4,0,0,0
5118,6,6.6,1.7,4.3,1,0,1
5840,85,4.8,3.9,7.9,0,1,2
9315,63,8.5,2.2,7.3,0,0,2
10347,59,4.2,1.5,2.9,0,0,2
971,56,6.3,0.8,6.3,1,1,1
11795,52,6.7,2.2,11.7,1,2,2
13858,43,4.1,3.8,5.2,1,0,2
14794,5,4.1,2.6,2.7,0,2,1
8727,49,7.4,1.5,2.6,0,2,2
2002,7,5.7,0.5,6.3,2,2,0
9029,54,8.7,1.9,10.5,2,1,2
1545,84,5.5,0.6,4.4,1,1,1
5675,47,8.9,1.5,7.2,0,1,2
6298,14,4.6,2.3,8.7,2,2,1
14178,69,6.2,0.6,3.2,2,0,2
3602,44,6.0,2.5,6.8,1,2,2
13859,28,5.9,2.5,8.0,0,0,2
9589,62,7.6,1.0,6.4,0,2,2
13953,76,4.9,2.3,6.2,1,0,2
8656,40,9.2,1.5,10.7,1,2,2
8520,18,7.8,2.4,11.4,1,1,2
14125,12,7.8,3.9,2.3,0,2,2
13693,6,4.6,2.9,8.5,2,0,2
7324,47,9.0,3.6,10.1,1,1,2
14069,45,4.6,2.8,3.3,1,1,2
7833,26,5.3,2.7,9.9,2,0,2
4891,77,5.9,2.8,6.0,1,0,2
11002,7,8.8,3.7,10.2,2,1,2
14470,88,5.4,0.8,7.6,2,0,2
7327,0,7.3,1.4,3.9,0,0,0
2078,79,5.9,2.9,9.6,0,0,1
1075,62,7.1,0.5,2.4,0,2,1
5081,84,9.0,0.6,9.9,0,1,2
5905,0,5.6,3.1,9.9,0,1,0
7989,27,9.3,2.0,6.5,2,1,2
6313,49,6.4,3.4,11.1,0,2,2
4895,39,7.9,3.4,7.6,1,2,2
12761,18,6.7,2.6,2.0,2,2,2
6222,11,8.5,3.0,9.6,1,1,1
14456,37,7.1,0.5,8.4,2,2,2
12013,44,8.5,2.9,4.8,1,2,2
2424,88,9.3,3.7,9.6,2,1,2
1589,48,8.2,2.3,10.7,2,0,1
12890,45,6.4,0.9,3.5,1,2,2
8013,4,4.1,2.2,3.6,1,2,1
9919,20,7.3,1.0,5.0,1,2,2
8877,79,5.2,1.7,6.7,1,1,2
3000,10,8.7,3.5,7.5,0,1,1
4845,26,8.4,2.2,11.3,1,1,1
8588,63,6.8,3.7,3.8,0,2,2
12679,77,6.7,3.4,5.1,0,2,2
4113,27,6.5,1.6,5.9,0,2,1
11790,67,4.4,3.2,9.9,1,1,2
6682,82,8.4,1.9,6.8,2,2,2
7404,72,5.8,3.3,2.9,0,0,2
9292,78,8.9,3.8,6.4,2,0,2
565,45,5.2,3.8,2.0,1,0,1
9993,17,5.2,2.8,5.3,1,1,2
14704,54,7.8,1.8,3.6,2,0,2
8353,55,5.5,2.1,10.4,1,2,2
12522,79,7.7,2.7,3.9,0,0,2
8511,53,6.3,2.6,2.6,1,2,2
4576,72,6.9,1.5,2.3,0,2,2
7300,4,8.2,1.7,5.9,0,0,1
